Participant	Age	Gender	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
42	22	F	5	4	3	2	4	3	2	4	5	5	1	5	1	4	4	3	5	5	5	5	1	5	2	5	1	1	1	4	5	1	4	5	5	5	1
43	24	F	4	2	5	3	5	4	3	3	5	5	3	5	3	4	3	3	5	5	5	5	5	5	4	5	2	1	5	4	5	2	4	5	5	5	5
44	23	F	5	5	5	4	5	5	3	4	5	5	1	5	5	5	3	4	5	5	5	5	1	5	3	5	3	1	5	5	5	1	5	5	5	5	1
45	22	M	5	3	5	5	5	5	5	4	5	5	4	5	5	5	5	4	5	5	5	5	2	5	4	5	4	1	4	5	5	4	5	5	5	5	2
46	28	F	5	4	5	3	5	3	5	4	5	5	3	5	5	5	4	4	4	5	4	4	1	4	4	5	3	1	2	3	4	3	4	5	5	5	1
47	20	M	5	1	5	4	5	4	5	1	5	5	1	5	3	5	4	5	5	5	5	5	1	5	3	5	1	1	5	5	5	3	5	5	5	5	1
48	19	M	5	3	4	5	4	5	4	3	5	4	2	5	3	4	3	3	4	5	5	4	1	5	3	4	2	1	5	3	5	2	3	5	5	5	1
49	30	M	5	3	4	3	5	4	4	3	5	5	2	5	5	3	4	2	3	4	2	3	4	4	2	4	2	1	3	2	4	2	4	5	4	5	2
50	25	F	5	4	5	3	5	4	5	3	5	5	2	5	5	5	3	3	4	5	4	5	5	5	3	5	3	1	5	3	4	2	5	5	5	5	1
51	21	F	4	1	2	2	3	2	1	1	4	4	2	5	1	3	3	2	3	5	4	3	1	1	1	3	2	1	1	2	2	1	2	5	1	5	1
52	21	M	5	2	2	2	5	2	5	1	5	5	2	5	5	5	3	3	2	5	5	4	1	2	2	4	2	2	1	3	5	2	5	5	3	5	1
53	26	M	5	2	5	3	5	4	2	4	5	5	3	5	2	5	4	2	5	5	5	5	1	5	4	5	3	1	5	4	4	2	4	5	5	5	1
54	21	M	3	1	5	5	5	3	2	3	3	5	4	4	2	5	3	4	5	5	3	5	3	4	5	5	5	2	2	4	4	4	4	4	3	5	2
55	20	F	5	2	5	4	5	4	1	5	5	5	1	5	2	4	4	5	4	5	5	5	1	5	4	5	4	1	4	5	5	1	5	5	5	5	1
56	18	F	4	2	4	4	5	3	5	3	5	5	3	5	5	5	4	4	5	5	3	5	2	5	4	4	4	1	5	5	5	1	5	5	5	5	1
